선거년도,선거명,정당,기호,면동,투표자수,득표수,득표율
2018,시의원,민주당,1-가,장평동,9180,1962,21.37%
2018,시의원,민주당,1-나,장평동,9180,1401,15.26%
2018,시의원,민주당,1-다,장평동,9180,789,8.59%
2018,시의원,국민의힘,2-가,장평동,9180,1195,13.02%
2018,시의원,국민의힘,2-나,장평동,9180,486,5.29%
2018,시의원,국민의힘,2-다,장평동,9180,850,9.26%
2018,시의원,정의당,3,장평동,9180,304,3.31%
2018,시의원,민주당,1-가,고현동,16573,2933,17.70%
2018,시의원,민주당,1-나,고현동,16573,2226,13.43%
2018,시의원,민주당,1-다,고현동,16573,1834,11.07%
2018,시의원,국민의힘,2-가,고현동,16573,1570,9.47%
2018,시의원,국민의힘,2-나,고현동,16573,1101,6.64%
2018,시의원,국민의힘,2-다,고현동,16573,2271,13.70%
2018,시의원,정의당,3,고현동,16573,591,3.57%
2018,시의원,민주당,1-가,상문동,12603,2367,18.78%
2018,시의원,민주당,1-나,상문동,12603,2027,16.08%
2018,시의원,민주당,1-다,상문동,12603,1888,14.98%
2018,시의원,국민의힘,2-가,상문동,12603,740,5.87%
2018,시의원,국민의힘,2-나,상문동,12603,577,4.58%
2018,시의원,국민의힘,2-다,상문동,12603,1336,10.60%
2018,시의원,정의당,3,상문동,12603,661,5.24%
2018,시의원,민주당,1-가,연초면,3997,834,20.87%
2018,시의원,민주당,1-나,연초면,3997,581,14.54%
2018,시의원,국민의힘,2-가,연초면,3997,412,10.31%
2018,시의원,국민의힘,2-나,연초면,3997,1062,26.57%
2018,시의원,바른미래당,3,연초면,3997,239,5.98%
2018,시의원,민주당,1-가,하청면,2681,424,15.81%
2018,시의원,민주당,1-나,하청면,2681,209,7.80%
2018,시의원,국민의힘,2-가,하청면,2681,347,12.94%
2018,시의원,국민의힘,2-나,하청면,2681,716,26.71%
2018,시의원,바른미래당,3,하청면,2681,204,7.61%
2018,시의원,민주당,1-가,장목면,2577,346,13.43%
2018,시의원,민주당,1-나,장목면,2577,189,7.33%
2018,시의원,국민의힘,2-가,장목면,2577,333,12.92%
2018,시의원,국민의힘,2-나,장목면,2577,1059,41.09%
2018,시의원,바른미래당,3,장목면,2577,82,3.18%
2018,시의원,민주당,1-가,수양동,8990,2357,26.22%
2018,시의원,민주당,1-나,수양동,8990,1130,12.57%
